	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	-18	1115	-17	-13	-16	-4	-9	-20	-14	-12	-10	-8	-13	-9	-18	-12	-15
0.25X F	547	1166	-7	-18	-15	-19	-13	-12	-5	-8	-22	-19	-9	-16	-17	-20	-9
0.5X F	1892	1684	-8	-16	-7	-14	-3	-11	-18	-22	-12	-7	-18	-9	-3	-19	-7
0.75X F	1451	1807	3	-17	-9	-10	-3	-40	-9	-10	-19	-11	-14	-11	-11	-19	-14
1X F	2097	2050	-21	-7	-11	-12	-18	-25	-6	-6	-10	-16	-14	-9	-14	2	-15
1.25X F	2275	6669	-13	-28	-6	-14	-10	-7	-18	-23	20	-6	-2	-2	-9	-2	-1
1.5X F	3550	328	5	-12	2	0	-2	-5	-5	-14	4	-18	-2	-10	-7	-2	-14
1.75X F	5503	17211	-7	-10	1	-8	-5	-13	-9	-19	-8	-9	4	-5	-2	0	-15
2X F	9181	9136	-5	-2	-17	-5	-10	-12	7	4	-11	-3	-4	-11	-6	-9	-14
2.25X F	3524	331	-4	-8	-13	5	6	-4	-6	2	-4	-9	-9	1	5	-5	-18
2.5X F	4467	89	-5	-8	5	-3	0	1	-5	-1	-12	8	-4	-9	6	-1	-12
2.75X F	3908	515	5	-3	-5	11	3	7	0	4	-9	-8	14	-1	-10	-6	-2
3X F	10832	4866	3	-13	11	-1	-2	-3	1	-6	-11	0	3	-16	0	-3	-5
3.25X F	16066	5839	-1	-2	-7	-7	0	-10	-13	6	-6	4	-14	-6	1	5	2
3.5X F	11290	3832	5	-3	19	-3	-1	6	9	6	-1	6	-2	10	-6	-5	9
3.75X F	11259	5299	52	11	-2	-7	0	-8	-6	-4	0	15	-7	-14	-13	-6	-6
4X F	9305	1311	10	-5	9	0	2	2	5	-5	66	5	-3	0	-7	0	-8
