	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	0.057	0.123	0.176	0.212	0.379	0.336	0.346	0.22	0.328	0.197	0.153	0.189	0.145	0.121	0.111	0.109	0.258
0.25X F	0.028	0.119	0.174	0.348	0.302	0.216	0.287	0.238	0.263	0.245	0.249	0.264	0.294	0.26	0.357	0.27	0.228
0.5X F	0.04	0.106	0.168	0.234	0.313	0.246	0.34	0.294	0.373	0.297	0.27	0.27	0.261	0.25	0.218	0.235	0.234
0.75X F	0.05	0.082	0.259	0.287	0.296	0.276	0.256	0.288	0.325	0.25	0.252	0.264	0.261	0.291	0.227	0.314	0.229
1X F	0.059	0.093	0.164	0.217	0.234	0.247	0.268	0.235	0.283	0.242	0.223	0.247	0.261	0.22	0.243	0.243	0.403
1.25X F	0.037	0.084	0.139	0.202	0.235	0.197	0.23	0.239	0.227	0.246	0.239	0.493	0.253	0.229	0.377	0.445	0.471
1.5X F	0.019	0.144	0.2	0.263	0.355	0.362	0.399	0.232	0.228	0.234	0.362	0.245	0.415	0.334	0.38	0.254	0.415
1.75X F	0.032	0.161	0.186	0.218	0.264	0.28	0.385	0.331	0.27	0.251	0.381	0.254	0.247	0.395	0.35	0.265	0.242
2X F	0.024	0.139	0.19	0.235	0.35	0.377	0.303	0.296	0.343	0.232	0.273	0.33	0.325	0.346	0.341	0.351	0.306
2.25X F	0.023	0.14	0.175	0.234	0.245	0.287	0.391	0.342	0.321	0.353	0.257	0.244	0.242	0.249	0.41	0.39	0.227
2.5X F	0.026	0.13	0.219	0.249	0.242	0.343	0.235	0.25	0.301	0.26	0.382	0.245	0.235	0.225	0.247	0.231	0.369
2.75X F	0.008	0.102	0.164	0.239	0.37	0.36	0.261	0.313	0.282	0.25	0.297	0.306	0.29	0.319	0.252	0.306	0.377
3X F	0.019	0.138	0.266	0.28	0.281	0.285	0.329	0.286	0.296	0.288	0.303	0.249	0.241	0.23	0.296	0.28	0.318
3.25X F	0.074	0.187	0.27	0.295	0.289	0.302	0.27	0.305	0.22	0.261	0.304	0.308	0.323	0.318	0.296	0.348	0.303
3.5X F	0.057	0.162	0.191	0.242	0.264	0.308	0.321	0.307	0.323	0.307	0.356	0.291	0.32	0.305	0.234	0.208	0.264
3.75X F	0.072	0.159	0.241	0.322	0.286	0.308	0.302	0.361	0.279	0.242	0.207	0.23	0.229	0.235	0.244	0.318	0.305
4X F	0.058	0.169	0.289	0.314	0.446	0.163	0.204	0.236	0.262	0.302	0.293	0.31	0.298	0.29	0.332	0.249	0.368
