	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	0.059	0.135	0.261	0.412	0.503	0.515	0.371	0.292	0.479	0.293	0.346	0.111	0.35	0.339	0.395	0.338	0.557
0.25X F	0.235	0.265	0.221	0.367	0.369	0.427	0.397	0.384	0.405	0.381	0.406	0.377	0.386	0.38	0.403	0.397	0.413
0.5X F	0.251	0.256	0.249	0.27	0.368	0.283	0.373	0.354	0.378	0.381	0.412	0.388	0.408	0.309	0.305	0.303	0.349
0.75X F	0.355	0.214	0.279	0.331	0.33	0.386	0.277	0.371	0.3	0.277	0.315	0.323	0.33	0.374	0.352	0.32	0.335
1X F	0.425	0.144	0.227	0.203	0.292	0.303	0.309	0.338	0.376	0.235	0.314	0.316	0.241	0.36	0.345	0.261	0.574
1.25X F	0.316	0.104	0.161	0.232	0.342	0.175	0.262	0.242	0.326	0.344	0.318	0.424	0.322	0.263	0.378	0.463	0.662
1.5X F	0.883	0.177	0.238	0.264	0.384	0.425	0.472	0.306	0.273	0.288	0.34	0.281	0.418	0.34	0.369	0.275	0.467
1.75X F	0.458	0.321	0.264	0.28	0.319	0.414	0.387	0.314	0.332	0.293	0.334	0.269	0.258	0.449	0.338	0.284	0.328
2X F	0.682	0.192	0.234	0.237	0.444	0.379	0.361	0.357	0.452	0.236	0.338	0.344	0.344	0.368	0.34	0.341	0.296
2.25X F	0.965	0.137	0.175	0.384	0.22	0.292	0.406	0.361	0.343	0.324	0.318	0.346	0.252	0.274	0.479	0.372	0.19
2.5X F	0.623	0.136	0.229	0.264	0.255	0.36	0.271	0.288	0.364	0.318	0.133	0.238	0.246	0.225	0.314	0.284	0.369
2.75X F	0.305	0.137	0.204	0.261	0.413	0.336	0.227	0.362	0.27	0.409	0.272	0.271	0.261	0.289	0.304	0.322	0.547
3X F	0.291	0.239	0.278	0.366	0.374	0.247	0.266	0.3	0.235	0.286	0.299	0.277	0.465	0.341	0.379	0.349	0.398
3.25X F	0.764	0.261	0.273	0.332	0.327	0.301	0.303	0.458	0.348	0.361	0.373	0.376	0.347	0.39	0.416	0.367	0.359
3.5X F	0.619	0.24	0.354	0.337	0.372	0.417	0.419	0.359	0.392	0.359	0.367	0.352	0.36	0.349	0.46	0.37	0.378
3.75X F	0.506	0.303	0.318	0.379	0.364	0.363	0.355	0.392	0.326	0.451	0.358	0.367	0.377	0.37	0.365	0.396	0.376
4X F	0.549	0.262	0.313	0.353	0.261	0.307	0.337	0.372	0.361	0.383	0.367	0.361	0.369	0.34	0.354	0.327	0.466
