	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	0.188	0.231	0.217	0.43	0.529	0.41	0.317	0.409	0.489	0.53	0.478	0.618	0.527	0.385	0.334	0.328	0.364
0.25X F	0.323	0.357	0.28	0.28	0.349	0.359	0.654	0.306	0.274	0.277	0.273	0.276	0.285	0.312	0.294	0.292	0.285
0.5X F	0.389	0.404	0.471	0.305	0.274	0.287	0.327	0.33	0.379	0.338	0.293	0.249	0.295	0.258	0.338	0.28	0.31
0.75X F	0.454	0.581	0.468	0.318	0.529	0.459	0.551	0.433	0.435	0.563	0.565	0.494	0.421	0.527	0.535	0.538	0.473
1X F	0.58	0.622	0.519	0.413	1.097	0.599	0.671	0.621	0.27	0.414	0.569	0.557	0.519	0.505	0.473	0.374	0.08
1.25X F	0.642	0.613	0.543	0.577	0.541	0.568	0.482	0.527	0.308	0.423	0.338	0.282	0.604	0.628	0.784	1.083	0.528
1.5X F	0.831	1.105	0.797	0.778	0.512	0.765	0.845	0.604	0.767	0.726	0.752	0.724	0.894	0.627	0.858	0.628	0.61
1.75X F	0.635	0.902	0.872	0.69	0.743	0.687	0.69	0.684	0.732	0.58	0.637	0.62	0.472	0.771	0.739	0.689	0.637
2X F	0.713	0.663	0.755	0.629	0.712	0.683	0.614	0.662	0.707	0.674	0.653	0.67	0.643	0.667	0.555	0.642	0.681
2.25X F	0.711	0.867	0.762	0.636	0.692	0.759	0.683	0.71	0.693	0.674	0.648	0.424	0.682	0.39	0.319	0.734	0.43
2.5X F	0.679	0.921	0.793	0.653	0.753	0.577	0.704	0.622	0.692	0.373	0.819	0.374	0.476	0.692	0.493	0.401	0.354
2.75X F	0.809	0.709	0.806	0.652	0.612	0.391	0.85	0.914	0.786	0.779	0.561	0.944	0.885	0.806	1.003	0.858	0.707
3X F	0.83	0.998	0.914	0.698	0.988	0.682	0.984	0.912	1.04	0.819	0.948	0.855	0.797	0.827	0.841	0.841	0.784
3.25X F	0.903	1.204	1.064	0.841	1.059	0.839	0.705	0.982	0.781	0.75	0.765	0.811	0.959	0.824	0.868	0.83	0.788
3.5X F	1.007	0.767	1.074	1.062	1.035	0.677	0.778	1.046	0.825	0.933	0.885	0.843	0.765	0.963	0.88	0.734	0.828
3.75X F	0.986	0.928	0.774	0.774	0.856	1.005	0.79	0.81	0.407	0.893	0.784	0.772	0.837	0.87	0.835	0.916	0.955
4X F	0.972	0.883	0.862	0.598	0.891	0.637	0.727	0.786	0.829	0.544	0.936	0.529	0.503	0.544	0.478	0.602	0.459
