	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	-5	-9	3	-9	-16	-11	-14	-13	-9	-21	-6	-13	-8	1	-8	-7	-13
0.25X F	52	-14	-3	-12	-5	-9	-6	-4	-5	-10	-1	-29	-1	1	-19	-8	-11
0.5X F	38	85	-17	-6	-15	-6	-6	-5	-12	0	-17	-11	-8	-2	2	-4	-12
0.75X F	25	46	2	-27	-13	-1	0	-3	-5	-10	-6	-10	-14	2	-18	0	-9
1X F	56	-20	-3	0	-8	-12	-7	-19	-1	-12	-12	-16	-15	-8	-16	-16	-4
1.25X F	70	5	-15	-18	-22	-4	-6	-6	-14	-14	-4	-11	-16	-9	-12	-17	-15
1.5X F	-21	-21	-13	-10	-12	-10	-6	-21	-18	-10	-11	-11	-14	-13	-3	-8	-2
1.75X F	-8	-19	-10	-8	-10	-10	-23	-11	-23	-16	-15	-16	-25	-8	-32	-13	-14
2X F	-8	-21	-12	-16	-16	-15	-26	-14	-14	-9	-17	-19	-11	-4	-9	-15	-18
2.25X F	-27	-13	-1	-14	-15	-18	-21	-19	-14	-21	-19	-18	-19	-13	-22	-4	-10
2.5X F	-8	-13	-20	-11	-20	-8	-2	-16	-10	-4	-7	-19	-14	-8	-4	-13	-8
2.75X F	-10	1	-5	-24	-10	8	-4	4	1	9	0	-13	-10	0	-6	0	-10
3X F	3	-7	2	-16	7	-2	10	-19	-17	1	-11	-2	-3	-8	-13	-11	-22
3.25X F	2	-13	-10	-11	-25	0	-8	3	4	-1	-8	-7	-7	5	-11	-6	-3
3.5X F	-3	-8	-5	-2	-1	-6	-9	-3	-1	-6	3	-7	-8	-2	-10	2	-12
3.75X F	9	-4	-7	0	-5	-5	-14	-9	-15	6	11	-8	-18	-6	2	-6	-7
4X F	6	20	-10	-3	0	-2	-9	-12	-16	9	3	-5	-13	-7	6	-4	-14
