	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	-10	1913	-5	-12	-8	6	2	-7	-5	-8	7	1	-7	1	9	-16	0
0.25X F	3311	1098	0	-5	0	2	3	-6	-11	-9	-1	-21	-1	-6	-17	-12	-13
0.5X F	2886	8618	1	-7	-22	-3	-7	2	-6	-6	-13	-17	-10	-3	6	-4	-12
0.75X F	4267	4557	-7	-29	-8	-6	-3	-13	-6	-11	-11	-10	-9	-1	-8	-5	-6
1X F	4087	1391	-7	6	-14	-17	-15	-12	-2	-10	-18	-20	-22	-5	-13	-11	7
1.25X F	3073	1304	-12	-13	-13	-5	-13	-10	-11	45	-12	-5	-16	-4	0	1	5
1.5X F	5479	1491	-9	13	10	-5	-2	-11	-4	2	-3	-8	-12	-4	7	-5	3
1.75X F	6635	7851	-2	-8	-7	7	-2	1	-12	1	-7	-13	-9	0	-14	-9	-17
2X F	4941	12359	8	0	0	-14	-3	3	5	-11	-8	-9	-1	1	-2	-13	-6
2.25X F	5128	165	7	0	2	-4	-3	-7	-5	2	-5	7	-9	-4	-16	-4	-2
2.5X F	5485	88	-10	-13	-6	3	13	0	-2	8	8	-20	-11	-3	15	9	-4
2.75X F	4467	15242	1	-6	3	-6	4	4	-5	10	5	-11	1	9	1	5	2
3X F	4404	571	8	-4	-1	-8	15	-9	6	-3	3	-10	8	-14	-4	-7	-13
3.25X F	4828	855	9	-3	-15	6	-7	8	1	3	-6	0	-2	4	-7	-4	-3
3.5X F	6158	4534	3	12	-6	9	-12	12	8	1	4	-9	16	-3	-1	10	-4
3.75X F	15632	1248	-7	8	17	-13	-3	2	-10	0	9	-10	-6	0	0	-2	0
4X F	15337	16883	5	-6	7	0	-10	-8	-5	0	0	-7	-4	4	3	9	-17
