	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	0.063	0.287	0.364	0.605	0.572	0.523	0.685	0.422	0.512	0.4	0.407	0.429	0.361	0.446	0.324	0.467	0.259
0.25X F	0.277	0.312	0.32	0.288	0.252	0.301	0.335	0.278	0.248	0.265	0.258	0.262	0.256	0.259	0.264	0.255	0.269
0.5X F	0.431	0.347	0.311	0.269	0.243	0.257	0.255	0.241	0.292	0.265	0.273	0.278	0.326	0.321	0.437	0.257	0.33
0.75X F	0.516	0.533	0.58	0.492	0.485	0.459	0.493	0.454	0.524	0.298	0.31	0.324	0.345	0.533	0.368	0.32	0.346
1X F	0.505	0.867	0.808	0.645	0.325	0.489	0.55	0.552	0.307	0.564	0.539	0.401	0.549	0.471	0.53	0.581	0.665
1.25X F	0.327	0.47	0.552	0.314	0.601	0.501	0.601	0.442	0.544	0.566	0.505	0.497	0.68	0.56	0.524	0.534	0.555
1.5X F	0.769	0.803	0.81	0.604	0.609	0.502	0.667	0.571	0.528	0.523	0.523	0.472	0.6	0.653	0.711	0.441	0.486
1.75X F	0.789	0.677	0.65	0.372	0.358	0.438	0.643	0.638	0.495	0.649	0.595	0.6	0.521	0.624	0.474	0.551	0.502
2X F	0.467	0.444	0.738	0.484	0.698	0.583	0.508	0.611	0.571	0.496	0.531	0.537	0.44	0.536	0.564	0.839	0.562
2.25X F	0.859	0.656	0.657	0.544	0.4	0.515	0.529	0.492	0.503	0.489	0.586	0.607	0.622	0.468	0.334	0.658	0.493
2.5X F	0.465	0.645	0.45	0.395	0.578	0.542	0.569	0.663	0.623	0.588	0.717	0.627	0.523	0.505	0.612	0.486	0.377
2.75X F	0.624	0.668	0.693	0.663	0.602	0.814	0.438	0.841	0.575	0.42	0.87	0.429	0.447	0.435	0.414	0.394	0.364
3X F	0.851	0.641	0.549	0.556	0.536	0.451	0.679	0.718	0.481	0.414	0.404	0.4	0.429	0.47	0.365	0.366	0.342
3.25X F	0.625	0.649	0.725	0.554	0.5	0.397	0.346	0.377	0.35	0.407	0.371	0.675	0.751	0.751	0.336	0.331	0.344
3.5X F	0.68	0.497	0.812	0.502	0.537	0.676	0.73	0.709	0.528	0.369	0.304	0.293	0.263	0.594	0.298	0.277	0.301
3.75X F	0.821	0.823	0.712	0.434	0.702	0.367	0.375	0.296	0.321	0.316	0.705	0.335	0.318	0.278	0.668	0.274	0.662
4X F	0.764	0.683	0.356	0.286	0.526	0.323	0.746	0.276	0.265	0.261	0.481	0.223	0.24	0.249	0.259	0.332	0.502
