	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	0.119	0.194	0.257	0.331	0.471	0.438	0.433	0.353	0.334	0.242	0.391	0.243	0.421	0.403	0.339	0.315	0.438
0.25X F	0.313	0.231	0.332	0.259	0.469	0.33	0.468	0.383	0.454	0.406	0.512	0.462	0.394	0.407	0.349	0.352	0.419
0.5X F	0.274	0.314	0.278	0.359	0.435	0.456	0.455	0.394	0.389	0.379	0.44	0.414	0.421	0.447	0.339	0.435	0.409
0.75X F	0.343	0.299	0.316	0.37	0.366	0.434	0.398	0.441	0.384	0.377	0.392	0.402	0.433	0.414	0.405	0.402	0.407
1X F	0.631	0.237	0.299	0.34	0.399	0.396	0.423	0.427	0.434	0.41	0.379	0.433	0.404	0.438	0.379	0.331	0.37
1.25X F	0.544	0.248	0.354	0.303	0.35	0.357	0.387	0.387	0.364	0.363	0.339	0.173	0.29	0.378	0.466	0.417	0.409
1.5X F	0.409	0.212	0.281	0.277	0.341	0.446	0.523	0.324	0.342	0.358	0.335	0.345	0.363	0.381	0.332	0.368	0.377
1.75X F	0.512	0.215	0.285	0.326	0.348	0.461	0.445	0.322	0.325	0.327	0.337	0.295	0.306	0.425	0.329	0.351	0.351
2X F	0.457	0.246	0.334	0.312	0.387	0.378	0.377	0.308	0.39	0.331	0.458	0.342	0.333	0.488	0.299	0.409	0.269
2.25X F	0.351	0.096	0.162	0.334	0.309	0.336	0.377	0.332	0.451	0.291	0.405	0.305	0.34	0.336	0.425	0.413	0.289
2.5X F	0.321	0.132	0.228	0.283	0.31	0.392	0.361	0.328	0.34	0.435	0.565	0.334	0.328	0.297	0.399	0.411	0.496
2.75X F	0.276	0.217	0.246	0.261	0.464	0.553	0.415	0.489	0.485	0.525	0.462	0.579	0.603	0.662	0.541	0.61	0.625
3X F	0.361	0.133	0.307	0.351	0.407	0.415	0.571	0.417	0.415	0.433	0.445	0.543	0.532	0.389	0.374	0.425	0.417
3.25X F	0.282	0.167	0.291	0.344	0.432	0.409	0.562	0.509	0.375	0.372	0.401	0.394	0.504	0.492	0.488	0.481	0.433
3.5X F	0.616	0.124	0.3	0.323	0.39	0.405	0.485	0.427	0.35	0.435	0.533	0.395	0.62	0.433	0.491	0.399	0.452
3.75X F	0.481	0.166	0.274	0.34	0.484	0.524	0.317	0.382	0.486	0.515	0.326	0.326	0.292	0.401	0.403	0.477	0.39
4X F	0.537	0.236	0.221	0.323	0.24	0.282	0.393	0.38	0.466	0.405	0.449	0.442	0.458	0.417	0.447	0.48	0.384
